"Ano";"Mês";"Grupo Econômico";"Empresa";"CNPJ";"UF";"Tipo de Outorga";"Tipo de Atendimento";"Acessos"
2022;12;TELEFÔNICA;VIVO;2558157000162;BA;Autorização;RURAL;149
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;1
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;30
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;3
2022;12;TELEFÔNICA;VIVO;2558157000162;RJ;Autorização;RURAL;1
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;3
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;25
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;1
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;1
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;3
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;15
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;2
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;3
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;2
2022;12;OUTROS;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;6236865000138;RJ;Autorização;RURAL;24
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;61
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;2
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;3
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;5
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;1
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;7
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;2
2022;12;OUTROS;GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;6236865000138;RJ;Autorização;RURAL;5
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;2
2022;12;BRASIL TECPAR;BRASIL TECPAR;7756651000155;RS;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;MG;Autorização;RURAL;10
2022;12;TELEFÔNICA;VIVO;2558157000162;PE;Autorização;RURAL;15
2022;12;TELEFÔNICA;VIVO;2558157000162;BA;Autorização;RURAL;36
2022;12;TELEFÔNICA;VIVO;2558157000162;PE;Autorização;RURAL;5
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;9
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;103
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;18
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;91
2022;12;TELEFÔNICA;VIVO;2558157000162;GO;Autorização;RURAL;9
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;PR;Autorização;RURAL;7
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;2
2022;12;TELEFÔNICA;VIVO;2558157000162;BA;Autorização;RURAL;75
2022;12;TELEFÔNICA;VIVO;2558157000162;BA;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;4
2022;12;TELEFÔNICA;VIVO;2558157000162;SC;Autorização;RURAL;1
2022;12;TELEFÔNICA;VIVO;2558157000162;RS;Autorização;RURAL;7
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;533
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;252
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;631
2022;12;LIGGA TELECOM;LIGGA TELECOM;1371416000189;PR;Autorização;RURAL;98
2022;12;ALGAR (CTBC TELECOM);ALGAR (CTBC TELECOM);71208516000174;MG;Autorização;RURAL;30
2022;12;ALGAR (CTBC TELECOM);ALGAR (CTBC TELECOM);71208516000174;MG;Autorização;RURAL;2
